谱信息：
开始时间,20:17:20
测量时间,82.607
死时间,0.396
总计数,99047
最大值,10033
Life通道道址,Life通道计数,Start通道道址,Start通道计数,Stop通道道址,Stop通道计数
476,2,476,2389,476,1578
477,0,477,2499,477,1519
478,1,478,2467,478,1498
479,0,479,2454,479,1588
480,1,480,2485,480,1555
481,0,481,2537,481,1526
482,0,482,2484,482,1548
483,2,483,2513,483,1496
484,0,484,2523,484,1503
485,0,485,2559,485,1616
486,1,486,2522,486,1532
487,0,487,2517,487,1514
488,1,488,2610,488,1507
489,0,489,2554,489,1531
490,1,490,2537,490,1475
491,1,491,2599,491,1510
492,1,492,2542,492,1557
493,3,493,2621,493,1448
494,0,494,2503,494,1528
495,1,495,2541,495,1501
496,0,496,2595,496,1438
497,0,497,2520,497,1509
498,1,498,2512,498,1519
499,2,499,2607,499,1564
500,2,500,2562,500,1551
501,1,501,2597,501,1505
502,3,502,2598,502,1576
503,1,503,2561,503,1610
504,0,504,2592,504,1528
505,4,505,2576,505,1545
506,0,506,2605,506,1522
507,0,507,2593,507,1494
508,0,508,2623,508,1524
509,1,509,2569,509,1479
510,2,510,2509,510,1522
511,0,511,2701,511,1543
512,0,512,2586,512,1539
513,1,513,2656,513,1540
514,0,514,2616,514,1505
515,1,515,2604,515,1562
516,2,516,2633,516,1529
517,0,517,2613,517,1537
518,0,518,2624,518,1532
519,1,519,2618,519,1604
520,0,520,2618,520,1567
521,0,521,2542,521,1511
522,1,522,2627,522,1497
523,0,523,2613,523,1613
524,0,524,2595,524,1567
525,0,525,2581,525,1640
526,1,526,2585,526,1538
527,1,527,2559,527,1571
528,1,528,2648,528,1563
529,1,529,2598,529,1579
530,1,530,2598,530,1488
531,0,531,2593,531,1607
532,0,532,2604,532,1512
533,2,533,2678,533,1564
534,0,534,2517,534,1533
535,1,535,2673,535,1617
536,1,536,2604,536,1544
537,0,537,2594,537,1533
538,0,538,2556,538,1615
539,4,539,2551,539,1610
540,0,540,2552,540,1576
541,0,541,2667,541,1664
542,0,542,2597,542,1560
543,1,543,2503,543,1668
544,1,544,2633,544,1618
545,1,545,2590,545,1658
546,0,546,2532,546,1669
547,1,547,2537,547,1638
548,1,548,2522,548,1616
549,2,549,2628,549,1558
550,0,550,2668,550,1688
551,0,551,2645,551,1622
552,0,552,2615,552,1632
553,2,553,2623,553,1628
554,0,554,2582,554,1576
555,2,555,2679,555,1612
556,1,556,2538,556,1647
557,1,557,2642,557,1737
558,1,558,2591,558,1663
559,2,559,2511,559,1646
560,1,560,2558,560,1672
561,2,561,2581,561,1642
562,0,562,2509,562,1636
563,0,563,2528,563,1734
564,2,564,2556,564,1674
565,2,565,2468,565,1657
566,2,566,2598,566,1629
567,1,567,2600,567,1664
568,2,568,2536,568,1661
569,1,569,2526,569,1637
570,1,570,2613,570,1667
571,2,571,2557,571,1683
572,2,572,2537,572,1702
573,0,573,2554,573,1687
574,2,574,2452,574,1611
575,0,575,2613,575,1634
576,1,576,2589,576,1675
577,2,577,2635,577,1717
578,1,578,2596,578,1650
579,1,579,2678,579,1720
580,2,580,2632,580,1677
581,1,581,2551,581,1754
582,0,582,2690,582,1686
583,2,583,2611,583,1709
584,0,584,2656,584,1691
585,0,585,2536,585,1651
586,1,586,2551,586,1693
587,0,587,2587,587,1753
588,0,588,2661,588,1637
589,0,589,2629,589,1748
590,0,590,2716,590,1667
591,1,591,2613,591,1755
592,0,592,2626,592,1687
593,2,593,2646,593,1755
594,0,594,2612,594,1670
595,0,595,2630,595,1713
596,0,596,2611,596,1709
597,2,597,2668,597,1776
598,0,598,2612,598,1706
599,0,599,2608,599,1744
600,1,600,2626,600,1730
601,0,601,2631,601,1708
602,1,602,2632,602,1749
603,0,603,2556,603,1711
604,0,604,2622,604,1651
605,0,605,2581,605,1717
606,0,606,2656,606,1724
607,0,607,2671,607,1747
608,1,608,2675,608,1703
609,0,609,2774,609,1726
610,1,610,2687,610,1708
611,1,611,2675,611,1691
612,1,612,2767,612,1791
613,1,613,2677,613,1786
614,0,614,2691,614,1720
615,2,615,2663,615,1715
616,0,616,2651,616,1870
617,1,617,2620,617,1818
