μ子数据
开始时间,19:34:47
测量时间,79.4
μ子衰变数,1411
μ子通量数,102
日期时间,μ子寿命
20221205 19:35:15,3.47
20221205 19:35:15,5.32
20221205 19:35:15,2.61
20221205 19:35:15,0.14
20221205 19:35:15,2.82
20221205 19:35:15,7.03
20221205 19:35:15,1.33
20221205 19:35:15,0.73
20221205 19:35:15,1.86
20221205 19:35:15,0.91
20221205 19:35:15,8.43
20221205 19:35:15,0.48
20221205 19:35:15,1.01
20221205 19:35:15,3.94
20221205 19:35:15,0.81
20221205 19:35:15,3.32
20221205 19:35:16,0.43
20221205 19:35:16,2.64
20221205 19:35:16,0.46
20221205 19:35:16,0.47
20221205 19:35:16,1.79
20221205 19:35:16,2.58
20221205 19:35:16,1.32
20221205 19:35:16,2.04
20221205 19:35:16,5.33
20221205 19:35:16,4.82
20221205 19:35:16,1.39
20221205 19:35:16,0.69
20221205 19:35:16,0.88
20221205 19:35:16,0.46
20221205 19:35:16,3.65
20221205 19:35:16,5.79
20221205 19:35:16,0.83
20221205 19:35:16,2
20221205 19:35:17,0.24
20221205 19:35:17,0.13
20221205 19:35:17,1.91
20221205 19:35:17,1.78
20221205 19:35:17,1.08
20221205 19:35:17,0.56
20221205 19:35:17,2.37
20221205 19:35:17,10.64
20221205 19:35:17,3.19
20221205 19:35:17,4.54
20221205 19:35:17,0.18
20221205 19:35:17,0.43
20221205 19:35:17,4
20221205 19:35:18,3.76
20221205 19:35:18,3.01
20221205 19:35:18,7.92
20221205 19:35:18,2.96
20221205 19:35:18,5.15
20221205 19:35:18,0.58
20221205 19:35:18,1.35
20221205 19:35:18,2.88
20221205 19:35:18,2.3
20221205 19:35:18,1.82
20221205 19:35:18,2.26
20221205 19:35:18,0.38
20221205 19:35:18,1.61
20221205 19:35:18,0.24
20221205 19:35:18,6.19
20221205 19:35:18,2.95
20221205 19:35:18,1.2
20221205 19:35:18,4.66
20221205 19:35:19,2.31
20221205 19:35:19,1.25
20221205 19:35:19,0.11
20221205 19:35:19,3.62
20221205 19:35:19,2.11
20221205 19:35:19,2.03
20221205 19:35:19,0.67
20221205 19:35:19,2.08
20221205 19:35:19,4.53
20221205 19:35:19,0.19
20221205 19:35:19,1.52
20221205 19:35:19,0.23
20221205 19:35:19,0.35
20221205 19:35:19,2.73
20221205 19:35:19,3.51
20221205 19:35:19,3.77
20221205 19:35:19,2.9
20221205 19:35:19,4.12
20221205 19:35:19,2.58
20221205 19:35:19,1.83
20221205 19:35:20,0.6
20221205 19:35:20,3.52
20221205 19:35:20,0.76
20221205 19:35:20,0.54
20221205 19:35:20,0.93
20221205 19:35:20,3.8
20221205 19:35:20,6.63
20221205 19:35:20,1.64
20221205 19:35:20,0.23
20221205 19:35:20,2.25
20221205 19:35:20,0.92
20221205 19:35:20,1.55
20221205 19:35:20,1.34
20221205 19:35:21,2.36
20221205 19:35:21,3.9
20221205 19:35:21,0.25
20221205 19:35:21,1.28
20221205 19:35:21,2.03
20221205 19:35:21,5.34
20221205 19:35:21,1.51
20221205 19:35:21,0.78
20221205 19:35:21,2.13
20221205 19:35:21,0.33
20221205 19:35:21,1.3
20221205 19:35:21,0.7
20221205 19:35:21,1.44
20221205 19:35:21,0.6
20221205 19:35:21,4.74
20221205 19:35:21,2.79
20221205 19:35:21,4.98
20221205 19:35:21,0.39
20221205 19:35:21,0.79
20221205 19:35:21,3.29
20221205 19:35:21,1.62
20221205 19:35:22,6.02
20221205 19:35:22,3.93
20221205 19:35:22,0.67
20221205 19:35:22,0.91
20221205 19:35:22,5.51
20221205 19:35:22,2.42
20221205 19:35:22,0.23
20221205 19:35:22,2.4
20221205 19:35:22,3.97
20221205 19:35:22,0.81
20221205 19:35:22,2.27
20221205 19:35:22,0.27
20221205 19:35:22,0.98
20221205 19:35:22,1.79
20221205 19:35:22,5.42
20221205 19:35:22,1.01
20221205 19:35:22,1.91
20221205 19:35:22,4.64
20221205 19:35:22,4.68
20221205 19:35:22,11.51
20221205 19:35:22,0.83
20221205 19:35:22,0.69
20221205 19:35:23,3.13
20221205 19:35:23,1.61
20221205 19:35:23,1.19
20221205 19:35:23,1.88
20221205 19:35:23,3.33
20221205 19:35:23,0.52
20221205 19:35:23,0.55
20221205 19:35:23,0.51
20221205 19:35:23,1.18
20221205 19:35:23,0.58
20221205 19:35:23,1.93
20221205 19:35:23,7.91
20221205 19:35:23,1.07
20221205 19:35:23,3.14
20221205 19:35:23,0.7
20221205 19:35:23,0.66
20221205 19:35:23,1.21
20221205 19:35:23,0.65
20221205 19:35:23,1.37
20221205 19:35:23,0.51
20221205 19:35:23,1.5
20221205 19:35:23,3.68
20221205 19:35:23,2.31
20221205 19:35:23,0.48
20221205 19:35:23,3.73
20221205 19:35:23,1.57
20221205 19:35:23,2.38
20221205 19:35:24,1.54
20221205 19:35:24,0.31
20221205 19:35:24,3.88
20221205 19:35:24,1.19
20221205 19:35:24,0.42
20221205 19:35:24,2.49
20221205 19:35:24,4.26
20221205 19:35:24,0.87
20221205 19:35:24,2.04
20221205 19:35:24,5.12
20221205 19:35:24,0.35
20221205 19:35:24,5.83
20221205 19:35:24,4.67
20221205 19:35:25,0.45
20221205 19:35:25,2.26
20221205 19:35:25,2.09
20221205 19:35:25,2.91
20221205 19:35:25,0.62
20221205 19:35:25,3.99
20221205 19:35:25,1.58
20221205 19:35:25,1.53
20221205 19:35:25,7.14
20221205 19:35:25,6.64
20221205 19:35:25,0.92
20221205 19:35:25,0.67
20221205 19:35:25,0.37
20221205 19:35:25,4.09
20221205 19:35:25,2.69
20221205 19:35:25,3.74
20221205 19:35:25,0.78
20221205 19:35:25,1.04
20221205 19:35:25,1.79
20221205 19:35:25,1.8
20221205 19:35:25,1.29
20221205 19:35:25,3.24
20221205 19:35:25,8.22
20221205 19:35:26,5.27
20221205 19:35:26,0.38
20221205 19:35:26,0.79
20221205 19:35:26,1.96
20221205 19:35:26,2.46
20221205 19:35:26,10.05
20221205 19:35:26,0.35
20221205 19:35:26,11.53
20221205 19:35:26,2.15
20221205 19:35:26,0.41
20221205 19:35:26,1.7
20221205 19:35:26,0.94
20221205 19:35:26,0.41
20221205 19:35:26,3.19
20221205 19:35:26,2.22
20221205 19:35:26,0.71
20221205 19:35:26,2.18
20221205 19:35:26,0.42
20221205 19:35:26,5.66
20221205 19:35:26,1.79
20221205 19:35:26,1.12
20221205 19:35:26,6.11
20221205 19:35:26,2.58
20221205 19:35:26,4.17
20221205 19:35:26,1.98
20221205 19:35:26,3.11
20221205 19:35:27,0.81
20221205 19:35:27,1.15
20221205 19:35:27,2.4
20221205 19:35:27,4.57
20221205 19:35:27,0.3
20221205 19:35:27,2.73
20221205 19:35:27,4.2
20221205 19:35:27,11.28
20221205 19:35:27,1.5
20221205 19:35:27,0.28
20221205 19:35:27,0.29
20221205 19:35:27,0.99
20221205 19:35:27,2.24
20221205 19:35:27,4.23
20221205 19:35:27,4.44
20221205 19:35:27,6.86
20221205 19:35:27,1.39
20221205 19:35:27,3.19
20221205 19:35:27,3.2
20221205 19:35:27,3.43
20221205 19:35:27,4.44
20221205 19:35:27,0.77
20221205 19:35:28,5.59
20221205 19:35:28,4.37
20221205 19:35:28,3.85
20221205 19:35:28,3.63
20221205 19:35:28,0.81
20221205 19:35:28,2.91
20221205 19:35:28,1.29
20221205 19:35:28,0.45
20221205 19:35:28,2.08
20221205 19:35:28,2.04
20221205 19:35:28,0.34
20221205 19:35:28,0.26
20221205 19:35:28,0.97
20221205 19:35:28,4.05
20221205 19:35:28,0.85
20221205 19:35:28,1.48
20221205 19:35:28,2.76
20221205 19:35:28,1.57
20221205 19:35:28,1.5
20221205 19:35:28,2.32
20221205 19:35:28,0.74
20221205 19:35:28,0.91
20221205 19:35:28,0.3
20221205 19:35:28,1.96
20221205 19:35:28,1.04
20221205 19:35:28,10.67
20221205 19:35:29,1.55
20221205 19:35:29,1.46
20221205 19:35:29,1.75
20221205 19:35:29,6.39
20221205 19:35:29,1.5
20221205 19:35:29,5.37
20221205 19:35:29,1.08
20221205 19:35:29,0.94
20221205 19:35:29,0.22
20221205 19:35:29,1.06
20221205 19:35:29,1.51
20221205 19:35:29,0.14
20221205 19:35:29,0.98
20221205 19:35:29,11.08
20221205 19:35:30,1.58
20221205 19:35:30,1.63
20221205 19:35:30,3.55
20221205 19:35:30,0.36
20221205 19:35:30,2.68
20221205 19:35:30,2.53
20221205 19:35:30,1.27
20221205 19:35:30,0.28
20221205 19:35:30,2.39
20221205 19:35:30,2.09
20221205 19:35:30,4.67
20221205 19:35:30,2.99
20221205 19:35:30,1.23
20221205 19:35:30,4.51
20221205 19:35:30,1.08
20221205 19:35:30,2.3
20221205 19:35:31,0.45
20221205 19:35:31,1.21
20221205 19:35:31,7.88
20221205 19:35:31,4.38
20221205 19:35:31,1.41
20221205 19:35:31,0.17
20221205 19:35:31,10.11
20221205 19:35:31,0.69
20221205 19:35:31,0.85
20221205 19:35:31,1.59
20221205 19:35:31,4.15
20221205 19:35:31,0.12
20221205 19:35:31,3.56
20221205 19:35:31,1.69
20221205 19:35:31,7.28
20221205 19:35:31,0.32
20221205 19:35:32,0.88
20221205 19:35:32,0.3
20221205 19:35:32,0.27
20221205 19:35:32,1.85
20221205 19:35:32,1.79
20221205 19:35:32,1.3
20221205 19:35:32,2.07
20221205 19:35:32,0.1
20221205 19:35:32,0.12
20221205 19:35:33,0.11
20221205 19:35:33,1.35
20221205 19:35:33,0.29
20221205 19:35:33,2.32
20221205 19:35:33,0.31
20221205 19:35:33,0.75
20221205 19:35:33,2.41
20221205 19:35:33,0.16
20221205 19:35:33,5.05
20221205 19:35:33,2.28
20221205 19:35:33,0.57
20221205 19:35:33,0.85
20221205 19:35:33,1.96
20221205 19:35:33,0.15
20221205 19:35:33,4.65
20221205 19:35:33,0.53
20221205 19:35:33,7.13
20221205 19:35:33,11.45
20221205 19:35:33,1.45
20221205 19:35:33,2.2
20221205 19:35:33,3.81
20221205 19:35:33,3.01
20221205 19:35:34,0.84
20221205 19:35:34,2.41
20221205 19:35:34,2.82
20221205 19:35:34,0.24
20221205 19:35:34,2.27
20221205 19:35:34,0.76
20221205 19:35:35,1.96
20221205 19:35:35,0.4
20221205 19:35:35,0.8
20221205 19:35:35,0.5
20221205 19:35:35,3.13
20221205 19:35:35,4.91
20221205 19:35:35,2.77
20221205 19:35:35,0.86
20221205 19:35:35,0.78
20221205 19:35:35,2.55
20221205 19:35:35,1.39
20221205 19:35:35,0.76
20221205 19:35:35,0.57
20221205 19:35:36,2.24
20221205 19:35:36,1.14
20221205 19:35:36,1.59
20221205 19:35:36,3.34
20221205 19:35:36,3.24
20221205 19:35:36,2.32
20221205 19:35:36,2.04
20221205 19:35:36,1.26
20221205 19:35:36,1.2
20221205 19:35:36,0.29
20221205 19:35:36,1.59
20221205 19:35:36,2.06
20221205 19:35:36,0.74
20221205 19:35:36,7.81
20221205 19:35:36,0.47
20221205 19:35:36,1.8
20221205 19:35:36,0.59
20221205 19:35:36,0.53
20221205 19:35:36,1.04
20221205 19:35:37,0.15
20221205 19:35:37,1.33
20221205 19:35:37,0.88
20221205 19:35:37,0.73
20221205 19:35:37,3.38
20221205 19:35:37,3.22
20221205 19:35:37,4.01
20221205 19:35:37,0.9
20221205 19:35:37,2.5
20221205 19:35:37,0.28
20221205 19:35:37,1.17
20221205 19:35:37,5
20221205 19:35:37,2.89
20221205 19:35:37,0.56
20221205 19:35:37,3.18
20221205 19:35:38,1.27
20221205 19:35:38,1.55
20221205 19:35:38,0.88
20221205 19:35:38,1.23
20221205 19:35:38,0.17
20221205 19:35:38,0.32
20221205 19:35:38,0.73
20221205 19:35:38,0.14
20221205 19:35:38,3.22
20221205 19:35:38,3.66
20221205 19:35:38,0.1
20221205 19:35:38,4.75
20221205 19:35:38,0.13
20221205 19:35:38,0.32
20221205 19:35:38,3.64
20221205 19:35:38,1.33
20221205 19:35:38,3.6
20221205 19:35:39,1.49
20221205 19:35:39,0.82
20221205 19:35:39,1.5
20221205 19:35:39,0.27
20221205 19:35:39,8.74
20221205 19:35:39,1.46
20221205 19:35:39,1.58
20221205 19:35:39,5.89
20221205 19:35:39,2.51
20221205 19:35:39,4.14
20221205 19:35:39,5.65
20221205 19:35:39,1.05
20221205 19:35:39,0.5
20221205 19:35:39,0.33
20221205 19:35:40,3.16
20221205 19:35:40,1.14
20221205 19:35:40,1.97
20221205 19:35:40,0.21
20221205 19:35:40,2.19
20221205 19:35:40,8.07
20221205 19:35:40,2.41
20221205 19:35:40,0.58
20221205 19:35:40,1.48
20221205 19:35:40,5.59
20221205 19:35:40,1.71
20221205 19:35:40,6.36
20221205 19:35:40,3.6
20221205 19:35:40,0.73
20221205 19:35:40,1.18
20221205 19:35:40,2.05
20221205 19:35:41,3.45
20221205 19:35:41,2.63
20221205 19:35:41,0.41
20221205 19:35:41,4.45
20221205 19:35:41,4.16
20221205 19:35:41,0.88
20221205 19:35:41,0.83
20221205 19:35:41,2.33
20221205 19:35:41,2.2
20221205 19:35:41,2.23
20221205 19:35:41,1.23
20221205 19:35:41,8.48
20221205 19:35:41,1.4
