μ子数据
开始时间,19:22:03
测量时间,592.6
μ子衰变数,10330
μ子通量数,1718
日期时间,μ子寿命
20221205 19:22:33,4.07
20221205 19:22:33,0.95
20221205 19:22:33,7.14
20221205 19:22:33,1.44
20221205 19:22:34,0.94
20221205 19:22:34,2.27
20221205 19:22:34,5.87
20221205 19:22:34,1.35
20221205 19:22:34,3.87
20221205 19:22:34,0.3
20221205 19:22:34,3.65
20221205 19:22:34,0.7
20221205 19:22:34,4.91
20221205 19:22:34,1.28
20221205 19:22:34,2.24
20221205 19:22:34,1.54
20221205 19:22:34,0.59
20221205 19:22:35,0.27
20221205 19:22:35,1.04
20221205 19:22:35,1.2
20221205 19:22:35,3.8
20221205 19:22:35,0.83
20221205 19:22:35,3.65
20221205 19:22:35,0.18
20221205 19:22:35,1.19
20221205 19:22:35,1.52
20221205 19:22:35,1.7
20221205 19:22:35,1.61
20221205 19:22:35,8.1
20221205 19:22:35,0.72
20221205 19:22:35,0.91
20221205 19:22:35,0.93
20221205 19:22:35,0.22
20221205 19:22:35,5.43
20221205 19:22:36,5.69
20221205 19:22:36,0.23
20221205 19:22:36,2.08
20221205 19:22:36,6.92
20221205 19:22:36,0.74
20221205 19:22:36,1.06
20221205 19:22:36,5.57
20221205 19:22:36,0.5
20221205 19:22:36,1.46
20221205 19:22:36,4.75
20221205 19:22:36,0.81
20221205 19:22:37,0.9
20221205 19:22:37,1.87
20221205 19:22:37,1.57
20221205 19:22:37,0.47
20221205 19:22:37,1.14
20221205 19:22:37,5.13
20221205 19:22:37,8.98
20221205 19:22:37,2.77
20221205 19:22:37,2.62
20221205 19:22:37,3.51
20221205 19:22:37,3.14
20221205 19:22:37,0.53
20221205 19:22:37,1.13
20221205 19:22:37,5.17
20221205 19:22:37,0.19
20221205 19:22:38,3.49
20221205 19:22:38,5.2
20221205 19:22:38,3.36
20221205 19:22:38,5.26
20221205 19:22:38,1.75
20221205 19:22:38,0.31
20221205 19:22:38,1.81
20221205 19:22:38,1.98
20221205 19:22:38,1.07
20221205 19:22:38,1.07
20221205 19:22:38,1.33
20221205 19:22:38,1.16
20221205 19:22:38,0.13
20221205 19:22:38,4.76
20221205 19:22:38,0.35
20221205 19:22:38,4.23
20221205 19:22:38,4.45
20221205 19:22:38,0.9
20221205 19:22:38,1.53
20221205 19:22:39,3.96
20221205 19:22:39,1.88
20221205 19:22:39,2.77
20221205 19:22:39,0.18
20221205 19:22:39,1.4
20221205 19:22:39,1.8
20221205 19:22:39,2.27
20221205 19:22:39,0.29
20221205 19:22:39,3.69
20221205 19:22:39,5.14
20221205 19:22:39,4.45
20221205 19:22:39,0.84
20221205 19:22:39,0.77
20221205 19:22:39,1.1
20221205 19:22:39,1.67
20221205 19:22:39,0.93
20221205 19:22:39,7.92
20221205 19:22:39,0.7
20221205 19:22:39,3.05
20221205 19:22:39,0.23
