通道一计数表：,,,通道二计数表：,,
ID,计数时长(s),计数,ID,计数时长(s),计数
538,0.1,3,538,0.4,19
539,0.1,3,539,0.4,20
540,0.1,7,540,0.4,26
541,0.1,8,541,0.4,22
542,0.1,7,542,0.4,26
543,0.1,5,543,0.4,21
544,0.1,10,544,0.4,18
545,0.1,8,545,0.4,20
546,0.1,4,546,0.4,21
547,0.1,6,547,0.4,20
548,0.1,5,548,0.4,25
549,0.1,4,549,0.4,18
550,0.1,7,550,0.4,26
551,0.1,6,551,0.4,22
552,0.1,4,552,0.4,21
553,0.1,7,553,0.4,23
554,0.1,2,554,0.4,25
555,0.1,4,555,0.4,24
556,0.1,2,556,0.4,25
557,0.1,3,557,0.4,22
558,0.1,8,558,0.4,30
559,0.1,6,559,0.4,28
560,0.1,9,560,0.4,26
561,0.1,9,561,0.4,31
562,0.1,3,562,0.4,18
563,0.1,4,563,0.4,24
564,0.1,2,564,0.4,26
565,0.1,2,565,0.4,24
566,0.1,6,566,0.4,14
567,0.1,2,567,0.4,25
568,0.1,4,568,0.4,14
569,0.1,1,569,0.4,19
570,0.1,3,570,0.4,22
571,0.1,9,571,0.4,23
572,0.1,7,572,0.4,24
573,0.1,5,573,0.4,19
574,0.1,4,574,0.4,27
575,0.1,6,575,0.4,30
576,0.1,5,576,0.4,21
577,0.1,4,577,0.4,22
578,0.1,8,578,0.4,28
579,0.1,7,579,0.4,27
580,0.1,4,580,0.4,19
581,0.1,5,581,0.4,29
582,0.1,5,582,0.4,23
583,0.1,3,583,0.4,21
584,0.1,7,584,0.4,29
585,0.1,6,585,0.4,25
586,0.1,5,586,0.4,26
587,0.1,8,587,0.4,26
588,0.1,3,588,0.4,15
589,0.1,5,589,0.4,24
590,0.1,9,590,0.4,23
591,0.1,7,591,0.4,16
592,0.1,8,592,0.4,17
593,0.1,6,593,0.4,27
594,0.1,8,594,0.4,22
595,0.1,4,595,0.4,26
596,0.1,5,596,0.4,22
597,0.1,4,597,0.4,27
598,0.1,1,598,0.4,21
599,0.1,2,599,0.4,19
600,0.1,7,600,0.4,22
601,0.1,4,601,0.4,21
602,0.1,1,602,0.4,25
603,0.1,5,603,0.4,20
604,0.1,6,604,0.4,33
605,0.1,7,605,0.4,28
606,0.1,7,606,0.4,24
607,0.1,9,607,0.4,29
608,0.1,4,608,0.4,25
609,0.1,6,609,0.4,20
610,0.1,8,610,0.4,19
611,0.1,6,611,0.4,25
612,0.1,6,612,0.4,22
613,0.1,3,613,0.4,30
614,0.1,4,614,0.4,17
615,0.1,7,615,0.4,20
616,0.1,8,616,0.4,14
617,0.1,4,617,0.4,21
618,0.1,5,618,0.4,20
619,0.1,3,619,0.4,26
620,0.1,7,620,0.4,19
621,0.1,4,621,0.4,19
622,0.1,4,622,0.4,28
623,0.1,6,623,0.4,18
624,0.1,7,624,0.4,22
625,0.1,12,625,0.4,24
626,0.1,6,626,0.4,26
627,0.1,3,627,0.4,27
628,0.1,8,628,0.4,30
629,0.1,9,629,0.4,24
630,0.1,6,630,0.4,21
631,0.1,7,631,0.4,19
632,0.1,3,632,0.4,14
633,0.1,7,633,0.4,24
634,0.1,3,634,0.4,26
635,0.1,7,635,0.4,21
636,0.1,5,636,0.4,17
637,0.1,8,637,0.4,22
638,0.1,4,638,0.4,25
639,0.1,7,639,0.4,19
640,0.1,9,640,0.4,25
641,0.1,5,641,0.4,24
642,0.1,4,642,0.4,33
643,0.1,7,643,0.4,27
644,0.1,5,644,0.4,22
645,0.1,4,645,0.4,18
646,0.1,1,646,0.4,21
647,0.1,7,647,0.4,31
648,0.1,9,648,0.4,40
649,0.1,4,649,0.4,22
650,0.1,4,650,0.4,17
651,0.1,3,651,0.4,20
652,0.1,4,652,0.4,17
653,0.1,7,653,0.4,20
654,0.1,6,654,0.4,28
655,0.1,8,655,0.4,24
656,0.1,2,656,0.4,15
657,0.1,5,657,0.4,24
658,0.1,6,658,0.4,23
659,0.1,7,659,0.4,20
660,0.1,12,660,0.4,24
661,0.1,3,661,0.4,25
662,0.1,4,662,0.4,17
663,0.1,8,663,0.4,27
664,0.1,4,664,0.4,24
665,0.1,4,665,0.4,22
666,0.1,5,666,0.4,21
667,0.1,6,667,0.4,14
668,0.1,1,668,0.4,21
669,0.1,5,669,0.4,23
670,0.1,4,670,0.4,18
671,0.1,4,671,0.4,20
672,0.1,5,672,0.4,28
673,0.1,1,673,0.4,23
674,0.1,2,674,0.4,23
675,0.1,1,675,0.4,19
676,0.1,5,676,0.4,23
677,0.1,9,677,0.4,20
678,0.1,5,678,0.4,28
679,0.1,5,679,0.4,18
680,0.1,5,680,0.4,24
681,0.1,6,681,0.4,26
682,0.1,3,682,0.4,31
683,0.1,4,683,0.4,25
684,0.1,7,684,0.4,16
685,0.1,4,685,0.4,19
686,0.1,4,686,0.4,17
687,0.1,4,687,0.4,29
688,0.1,4,688,0.4,21
689,0.1,6,689,0.4,22
690,0.1,6,690,0.4,35
691,0.1,2,691,0.4,24
692,0.1,4,692,0.4,21
693,0.1,3,693,0.4,22
694,0.1,5,694,0.4,20
695,0.1,10,695,0.4,17
696,0.1,3,696,0.4,21
697,0.1,7,697,0.4,22
698,0.1,5,698,0.4,23
699,0.1,9,699,0.4,28
700,0.1,2,700,0.4,19
701,0.1,8,701,0.4,25
702,0.1,7,702,0.4,18
703,0.1,5,703,0.4,21
704,0.1,8,704,0.4,22
705,0.1,7,705,0.4,19
706,0.1,3,706,0.4,26
707,0.1,7,707,0.4,31
708,0.1,5,708,0.4,23
709,0.1,4,709,0.4,21
710,0.1,8,710,0.4,17
711,0.1,1,711,0.4,24
712,0.1,4,712,0.4,21
713,0.1,6,713,0.4,23
714,0.1,8,714,0.4,21
715,0.1,7,715,0.4,21
716,0.1,8,716,0.4,20
717,0.1,6,717,0.4,29
